year,stage,group,date,home_team,away_team,home_score,away_score,played,source,winner
2026,Matchday 7,Group K,2026-06-17,Portugal,DR Congo,1.0,1.0,True,openfootball,
2026,Matchday 7,Group K,2026-06-17,Uzbekistan,Colombia,1.0,3.0,True,openfootball,
2026,Matchday 13,Group K,2026-06-23,Portugal,Uzbekistan,5.0,0.0,True,openfootball,
2026,Matchday 13,Group K,2026-06-23,Colombia,DR Congo,1.0,0.0,True,openfootball,
2026,Matchday 17,Group K,2026-06-27,Colombia,Portugal,0.0,0.0,True,openfootball,
2026,Matchday 17,Group K,2026-06-27,DR Congo,Uzbekistan,3.0,1.0,True,openfootball,
2026,Matchday 7,Group L,2026-06-17,England,Croatia,4.0,2.0,True,openfootball,
2026,Matchday 7,Group L,2026-06-17,Ghana,Panama,1.0,0.0,True,openfootball,
2026,Matchday 13,Group L,2026-06-23,England,Ghana,0.0,0.0,True,openfootball,
2026,Matchday 13,Group L,2026-06-23,Panama,Croatia,0.0,1.0,True,openfootball,
2026,Matchday 17,Group L,2026-06-27,Panama,England,0.0,2.0,True,openfootball,
2026,Matchday 17,Group L,2026-06-27,Croatia,Ghana,2.0,1.0,True,openfootball,
2026,Round of 32,,2026-06-28,2A,2B,,,False,,
2026,Round of 32,,2026-06-29,1E,3A/B/C/D/F,,,False,,
2026,Round of 32,,2026-06-29,1F,2C,,,False,,
2026,Round of 32,,2026-06-29,1C,2F,,,False,,
2026,Round of 32,,2026-06-30,1I,3C/D/F/G/H,,,False,,
2026,Round of 32,,2026-06-30,2E,2I,,,False,,
2026,Round of 32,,2026-06-30,1A,3C/E/F/H/I,,,False,,
2026,Round of 32,,2026-07-01,1L,3E/H/I/J/K,,,False,,
2026,Round of 32,,2026-07-01,1D,3B/E/F/I/J,,,False,,
2026,Round of 32,,2026-07-01,1G,3A/E/H/I/J,,,False,,
2026,Round of 32,,2026-07-02,2K,2L,,,False,,
2026,Round of 32,,2026-07-02,1H,2J,,,False,,
2026,Round of 32,,2026-07-02,1B,3E/F/G/I/J,,,False,,
2026,Round of 32,,2026-07-03,1J,2H,,,False,,
2026,Round of 32,,2026-07-03,1K,3D/E/I/J/L,,,False,,
2026,Round of 32,,2026-07-03,2D,2G,,,False,,
2026,Round of 16,,2026-07-04,W74,W77,,,False,,
2026,Round of 16,,2026-07-04,W73,W75,,,False,,
2026,Round of 16,,2026-07-05,W76,W78,,,False,,
2026,Round of 16,,2026-07-05,W79,W80,,,False,,
2026,Round of 16,,2026-07-06,W83,W84,,,False,,
2026,Round of 16,,2026-07-06,W81,W82,,,False,,
2026,Round of 16,,2026-07-07,W86,W88,,,False,,
2026,Round of 16,,2026-07-07,W85,W87,,,False,,
2026,Quarter-final,,2026-07-09,W89,W90,,,False,,
2026,Quarter-final,,2026-07-10,W93,W94,,,False,,
2026,Quarter-final,,2026-07-11,W91,W92,,,False,,
2026,Quarter-final,,2026-07-11,W95,W96,,,False,,
2026,Semi-final,,2026-07-14,W97,W98,,,False,,
2026,Semi-final,,2026-07-15,W99,W100,,,False,,
2026,Match for third place,,2026-07-18,L101,L102,,,False,,
2026,Final,,2026-07-19,W101,W102,,,False,,
2026,Matchday 1,A,2026-06-11,South Korea,Czechia,2.0,1.0,True,openfootball,
2026,Matchday 8,A,2026-06-18,Czechia,South Africa,1.0,1.0,True,openfootball,
2026,Matchday 14,A,2026-06-24,Czechia,Mexico,0.0,3.0,True,openfootball,
2026,Matchday 2,B,2026-06-12,Canada,Bosnia-Herzegovina,1.0,1.0,True,openfootball,
2026,Matchday 8,B,2026-06-18,Switzerland,Bosnia-Herzegovina,4.0,1.0,True,openfootball,
2026,Matchday 14,B,2026-06-24,Bosnia-Herzegovina,Qatar,3.0,1.0,True,openfootball,
2026,Matchday 5,H,2026-06-15,Spain,Cabo Verde,0.0,0.0,True,openfootball,
2026,Matchday 11,H,2026-06-21,Uruguay,Cabo Verde,2.0,2.0,True,openfootball,
2026,Matchday 16,H,2026-06-26,Cabo Verde,Saudi Arabia,0.0,0.0,True,openfootball,
2026,R32,,2026-06-28,South Africa,Canada,0.0,1.0,True,openfootball,Canada
2026,R32,,2026-06-29,Germany,Paraguay,1.0,1.0,True,openfootball,Paraguay
2026,R32,,2026-06-29,Netherlands,Morocco,1.0,1.0,True,openfootball,Morocco
2026,R32,,2026-06-29,Brazil,Japan,2.0,1.0,True,openfootball,Brazil
2026,R32,,2026-06-30,France,Sweden,3.0,0.0,True,openfootball,France
2026,R32,,2026-06-30,Ivory Coast,Norway,1.0,2.0,True,openfootball,Norway
2026,R32,,2026-06-30,Mexico,Ecuador,2.0,0.0,True,openfootball,Mexico
2026,R32,,2026-07-01,England,DR Congo,2.0,1.0,True,openfootball,England
2026,R32,,2026-07-01,USA,Bosnia-Herzegovina,2.0,0.0,True,openfootball,USA
2026,R32,,2026-07-01,Belgium,Senegal,2.0,2.0,True,openfootball,Belgium
2026,R32,,2026-07-02,Portugal,Croatia,2.0,1.0,True,openfootball,Portugal
2026,R32,,2026-07-02,Spain,Austria,3.0,0.0,True,openfootball,Spain
2026,R32,,2026-07-02,Switzerland,Algeria,2.0,0.0,True,openfootball,Switzerland
2026,R32,,2026-07-03,Argentina,Cabo Verde,1.0,1.0,True,openfootball,Argentina
2026,R32,,2026-07-03,Colombia,Ghana,1.0,0.0,True,openfootball,Colombia
2026,R32,,2026-07-03,Australia,Egypt,1.0,1.0,True,openfootball,Egypt
2026,R16,,2026-07-04,Canada,W75,,,False,openfootball,
2026,R16,,2026-07-04,Paraguay,France,0.0,1.0,True,openfootball,France
2026,R16,,2026-07-04,Canada,Morocco,0.0,3.0,True,openfootball,Morocco
2026,R16,,2026-07-05,Brazil,Norway,,,False,openfootball,
2026,R16,,2026-07-05,Mexico,England,,,False,openfootball,
2026,R16,,2026-07-06,USA,Belgium,,,False,openfootball,
2026,R16,,2026-07-06,Portugal,Spain,,,False,openfootball,
2026,R16,,2026-07-07,Argentina,Egypt,,,False,openfootball,
2026,R16,,2026-07-07,Switzerland,Colombia,,,False,openfootball,
