year,stage,home_team,away_team,home_score,away_score,result,total_goals,home_elo,away_elo,elo_diff,home_fifa_rank,away_fifa_rank,rank_diff,home_form,away_form,form_diff,home_avg_scored,home_avg_conceded,away_avg_scored,away_avg_conceded,home_h2h_winrate,away_h2h_winrate,home_wc_exp,away_wc_exp,exp_diff,home_is_host,away_is_host,home_rest_days,away_rest_days
1934,Quarter-finals,Czechia,Switzerland,3,2,2,5,1520.1,1520.0,0.1,38,17,-21,0.8333,1.0,-0.1667,1.5,1.0,3.0,2.0,0.5,0.5,9,12,-3,0,0,4.0,4.0
1934,"Quarter-finals, Replays",Italy,Spain,1,0,2,1,1521.1,1520.0,1.1,10,8,-2,0.8333,1.0,-0.1667,4.0,1.0,3.0,1.0,0.5,0.5,18,16,2,0,0,5.0,5.0
1934,Semi-finals,Czechia,Germany,3,1,2,4,1540.1,1538.0,2.0,38,9,-29,0.9167,1.0,-0.0833,2.0,1.333,3.5,1.5,0.5,0.5,9,20,-11,0,0,3.0,3.0
1934,Semi-finals,Italy,Austria,1,0,2,1,1541.0,1520.0,21.0,10,24,14,0.9167,0.8333,0.0833,3.0,0.667,1.5,1.0,0.5,0.5,18,7,11,0,0,2.0,3.0
1934,Third-place match,Germany,Austria,3,2,2,5,1518.2,1501.2,16.9,9,24,15,0.5,0.4167,0.0833,2.667,2.0,1.0,1.0,0.5,0.5,20,7,13,0,0,4.0,4.0
1938,Final,Hungary,Italy,2,4,0,6,1498.8,1559.8,-61.0,60,10,-50,0.3333,0.95,-0.6167,2.5,2.0,2.5,0.5,0.5,0.5,9,18,-9,0,0,1480.0,1477.0
1938,First round,Czechia,Netherlands,0,0,1,0,1559.9,1480.0,79.9,38,7,-31,0.95,0.0,0.95,2.25,1.25,2.0,3.0,0.5,0.5,9,11,-2,0,0,1463.0,1470.0
1938,First round,Brazil,Poland,4,4,1,8,1480.1,1500.0,-19.9,4,29,25,0.3333,0.5,-0.1667,2.0,1.667,1.2,1.2,0.5,0.5,22,9,13,0,0,1470.0,14.0
1938,First round,Italy,Norway,1,1,1,2,1576.3,1500.0,76.3,10,27,17,0.9667,0.5,0.4667,2.8,0.8,1.2,1.2,0.5,0.5,18,3,15,0,0,0.0,14.0
1938,First round,France,Belgium,3,1,2,4,1480.1,1442.4,37.8,2,6,4,0.3,0.0,0.3,1.25,1.0,0.667,3.0,0.5,0.5,16,14,2,0,0,1470.0,1470.0
1938,First round,Hungary,Indonesia,6,0,2,6,1482.3,1500.0,-17.7,60,60,0,0.1667,0.5,-0.3333,2.333,2.667,1.2,1.2,0.5,0.5,9,1,8,0,0,0.0,14.0
1938,First round,Switzerland,Germany,1,1,1,2,1500.0,1537.2,-37.2,17,9,-8,0.3333,0.7,-0.3667,2.5,2.5,2.75,2.0,0.5,0.5,12,20,-8,0,0,1465.0,1458.0
1938,"First round, Replays",Germany,Switzerland,2,4,0,6,1535.0,1502.1,32.9,9,17,8,0.6333,0.4167,0.2167,2.4,1.8,2.0,2.0,0.0,0.0,20,12,8,0,0,5.0,5.0
1938,"First round, Replays",Cuba,Romania,2,1,2,3,1500.0,1481.0,19.0,60,60,0,0.5,0.1667,0.3333,1.2,1.2,1.333,2.333,0.5,0.5,1,7,-6,0,0,14.0,1474.0
1938,Match for third place,Sweden,Brazil,2,4,0,6,1503.0,1481.2,21.8,28,4,-24,0.3333,0.4,-0.0667,2.0,2.0,2.5,2.25,0.5,0.5,12,22,-10,0,0,1480.0,14.0
1938,Quarter-finals,France,Italy,1,3,0,4,1498.0,1572.0,-74.0,2,10,8,0.5333,0.8333,-0.3,1.6,1.0,2.5,0.833,0.5,0.5,16,18,-2,0,0,7.0,7.0
1938,Quarter-finals,Sweden,Cuba,8,0,2,8,1481.8,1518.9,-37.1,28,60,32,0.1667,1.0,-0.8333,2.0,2.667,2.0,1.0,0.5,0.5,12,1,11,0,0,0.0,3.0
1938,Quarter-finals,Switzerland,Hungary,0,2,0,2,1524.0,1503.3,20.7,17,60,43,0.65,0.5,0.15,2.5,2.0,3.25,2.0,0.5,0.5,12,9,3,0,0,3.0,7.0
1938,"Quarter-finals, Replays",Brazil,Czechia,2,1,2,3,1502.5,1555.4,-53.0,4,38,34,0.6,0.8,-0.2,2.8,2.2,1.8,1.0,0.5,0.5,22,9,13,0,0,0.0,9.0
1938,Semi-finals,Italy,Brazil,2,1,2,3,1587.8,1525.5,62.3,10,4,-6,0.875,0.7143,0.1607,2.571,0.857,2.667,2.0,0.5,0.5,18,22,-4,0,0,4.0,2.0
1938,Semi-finals,Hungary,Sweden,5,1,2,6,1524.5,1503.9,20.6,60,28,-32,0.6667,0.5,0.1667,3.0,1.6,3.5,2.0,0.5,0.5,9,12,-3,0,0,4.0,4.0
1950,Final Round,Uruguay,Brazil,2,1,2,3,1575.7,1509.0,66.6,11,4,-7,1.0,0.5357,0.4643,3.75,0.75,2.429,2.0,0.5,0.5,14,22,-8,0,0,7294.0,4413.0
1950,Final Round,Sweden,Spain,3,1,2,4,1485.1,1500.1,-15.0,28,8,-20,0.3333,0.3333,0.0,3.0,2.6,1.5,1.0,0.5,0.5,12,16,-4,0,0,4413.0,5889.0
1950,Final Round,Uruguay,Sweden,3,2,2,5,1591.9,1505.9,85.9,11,28,17,1.0,0.5238,0.4762,3.4,0.8,3.0,2.333,0.5,0.5,14,12,2,0,0,0.0,0.0
1950,Final Round,Brazil,Spain,6,1,2,7,1492.8,1479.2,13.6,4,8,4,0.4167,0.1667,0.25,2.25,2.0,1.333,1.667,0.0,1.0,22,16,6,0,0,0.0,0.0
1950,Final Round,Brazil,Sweden,7,1,2,8,1512.0,1490.8,21.3,4,28,24,0.5333,0.3929,0.1405,2.667,1.889,2.857,2.429,1.0,0.0,22,12,10,0,0,0.0,0.0
1950,Final Round,Uruguay,Spain,2,2,1,4,1607.0,1460.0,147.0,11,8,-3,1.0,0.1,0.9,3.333,1.0,1.25,2.75,0.5,0.5,14,16,-2,0,0,0.0,0.0
1950,First round,Uruguay,Bolivia,8,0,2,8,1599.0,1461.1,137.9,11,60,49,0.875,0.0,0.875,3.143,1.143,0.0,4.0,0.5,0.5,14,3,11,0,0,0.0,7287.0
1950,First round,Italy,Paraguay,2,0,2,2,1604.3,1501.1,103.2,10,42,32,0.9028,0.6667,0.2361,2.5,0.875,0.5,1.5,0.5,0.5,18,8,10,0,0,4399.0,7287.0
1950,First round,Sweden,Paraguay,2,2,1,4,1472.0,1486.9,-14.8,28,42,14,0.3056,0.3333,-0.0278,2.625,3.0,0.333,1.667,0.5,0.5,12,8,4,0,0,0.0,0.0
1950,First round,Sweden,Italy,3,2,2,5,1472.9,1618.5,-145.6,28,10,-18,0.3444,0.9222,-0.5778,2.556,2.889,2.444,0.778,0.5,0.5,12,18,-6,0,0,0.0,0.0
1950,First round,Chile,USA,5,2,2,7,1518.9,1497.8,21.2,60,13,-47,0.8333,0.3,0.5333,1.667,1.0,2.0,3.25,0.5,0.5,9,11,-2,0,1,7288.0,5880.0
